               Date|        Records|               Bytes|          Packets|
2016/04/11T07:00:00|        1756.00|          5059808.11|         62361.58|
2016/04/11T07:05:00|        1734.67|          4968846.65|         41692.29|
2016/04/11T07:10:00|        1653.08|          3786180.91|         27613.38|
2016/04/11T07:15:00|        1848.83|          3893474.38|         29683.67|
2016/04/11T07:20:00|        1894.23|          5137710.62|         36260.20|
2016/04/11T07:25:00|        1715.82|          4117025.00|         28846.32|
2016/04/11T07:30:00|        1572.43|          3691666.26|         29436.28|
2016/04/11T07:35:00|        1832.84|          4712995.49|         35810.68|
2016/04/11T07:40:00|        1590.25|          4374120.77|         39534.54|
2016/04/11T07:45:00|        1567.65|          3762412.29|         31248.08|
2016/04/11T07:50:00|        1873.02|          4410390.53|         33048.78|
2016/04/11T07:55:00|        1616.65|          4106705.00|         34254.25|
2016/04/11T08:00:00|        1522.16|          4210439.35|         37829.71|
2016/04/11T08:05:00|        2013.33|          4791235.21|         36976.65|
2016/04/11T08:10:00|        1583.71|          4114466.45|         34029.71|
2016/04/11T08:15:00|        1988.62|          6182948.81|         42760.79|
2016/04/11T08:20:00|        1630.64|          4325257.89|         31794.10|
2016/04/11T08:25:00|        1961.67|          4916930.73|         37319.17|
2016/04/11T08:30:00|        1556.12|          4662267.05|         45628.01|
2016/04/11T08:35:00|        1608.65|          4159338.83|         36631.01|
2016/04/11T08:40:00|        1623.53|          3644027.44|         33092.93|
2016/04/11T08:45:00|        1721.23|          4668144.73|         42734.25|
2016/04/11T08:50:00|        1518.50|          3786605.50|         39271.32|
2016/04/11T08:55:00|        1459.67|          3488923.54|         28073.59|
2016/04/11T09:00:00|        1644.55|          3050090.63|         23230.86|
2016/04/11T09:05:00|        1649.95|          4070753.48|         36216.42|
2016/04/11T09:10:00|        1585.65|          4603113.81|         43565.35|
2016/04/11T09:15:00|        1803.82|          4147872.09|         30624.19|
2016/04/11T09:20:00|        1685.56|          3838662.73|         27139.22|
2016/04/11T09:25:00|        1452.55|          3544095.20|         35934.62|
2016/04/11T09:30:00|        1553.62|          3435615.40|         27336.50|
2016/04/11T09:35:00|        1666.06|          4504164.53|         36677.56|
2016/04/11T09:40:00|        1562.47|          3116745.30|         23329.23|
2016/04/11T09:45:00|        1771.88|          4060701.70|         34764.65|
2016/04/11T09:50:00|        1826.15|          4911870.26|         40010.11|
2016/04/11T09:55:00|        2080.41|          5790351.24|         49658.32|
2016/04/11T10:00:00|        1881.60|          5029871.31|         45735.44|
